,region,AveragePrice,Total Volume,co-ordinates,latitude,longitude,geometry
0,Albany,1.5610355029585792,47537.86973372778,"(42.65155029296875, -73.75521087646484)",42.65155029296875,-73.75521087646484,POINT (-73.75521087646484 42.65155029296875)
1,Atlanta,1.3379585798816571,262145.3220414202,"(33.74831008911133, -84.39111328125)",33.74831008911133,-84.39111328125,POINT (-84.39111328125 33.74831008911133)
2,BaltimoreWashington,1.5342307692307684,398561.89147928974,"(39.183738708496094, -76.67420959472656)",39.183738708496094,-76.67420959472656,POINT (-76.67420959472656 39.18373870849609)
3,Boise,1.348136094674556,42642.567307692276,"(43.60768127441406, -116.19339752197266)",43.60768127441406,-116.19339752197266,POINT (-116.1933975219727 43.60768127441406)
4,Boston,1.5308875739644972,287792.85452662717,"(42.35866165161133, -71.0567398071289)",42.35866165161133,-71.0567398071289,POINT (-71.05673980712891 42.35866165161133)
5,BuffaloRochester,1.5168343195266274,67936.30295857985,"(42.885440826416016, -78.87846374511719)",42.885440826416016,-78.87846374511719,POINT (-78.87846374511719 42.88544082641602)
6,California,1.3953254437869818,3044324.41766272,"(37.25510025024414, -119.61752319335938)",37.25510025024414,-119.61752319335938,POINT (-119.6175231933594 37.25510025024414)
7,Charlotte,1.6060355029585796,105193.91840236682,"(35.22285842895508, -80.83795928955078)",35.22285842895508,-80.83795928955078,POINT (-80.83795928955078 35.22285842895508)
8,Chicago,1.5567751479289942,395569.04884615366,"(41.88425064086914, -87.6324462890625)",41.88425064086914,-87.6324462890625,POINT (-87.6324462890625 41.88425064086914)
9,CincinnatiDayton,1.2092011834319527,131721.91588757405,"(39.10712814331055, -84.5041275024414)",39.10712814331055,-84.5041275024414,POINT (-84.50412750244141 39.10712814331055)
10,Columbus,1.2527810650887576,88737.75568047333,"(39.96199035644531, -83.00274658203125)",39.96199035644531,-83.00274658203125,POINT (-83.00274658203125 39.96199035644531)
11,DallasFtWorth,1.0855917159763315,616625.1081360948,"(32.77814865112305, -96.79540252685547)",32.77814865112305,-96.79540252685547,POINT (-96.79540252685547 32.77814865112305)
12,Denver,1.2185798816568048,410954.24849112454,"(39.74000930786133, -104.99201965332031)",39.74000930786133,-104.99201965332031,POINT (-104.9920196533203 39.74000930786133)
13,Detroit,1.2760946745562132,187640.29402366868,"(42.33168029785156, -83.0479965209961)",42.33168029785156,-83.0479965209961,POINT (-83.04799652099609 42.33168029785156)
14,GrandRapids,1.5049999999999992,89383.834112426,"(42.9664192199707, -85.67195129394531)",42.9664192199707,-85.67195129394531,POINT (-85.67195129394531 42.9664192199707)
16,HarrisburgScranton,1.5132840236686393,123694.84816568048,"(40.25986099243164, -76.88223266601562)",40.25986099243164,-76.88223266601562,POINT (-76.88223266601563 40.25986099243164)
17,HartfordSpringfield,1.8186390532544363,149912.8327218934,"(39.801048278808594, -89.64360046386719)",39.801048278808594,-89.64360046386719,POINT (-89.64360046386719 39.80104827880859)
18,Houston,1.0479289940828398,601088.36627219,"(29.76058006286621, -95.36968231201172)",29.76058006286621,-95.36968231201172,POINT (-95.36968231201172 29.76058006286621)
19,Indianapolis,1.313994082840236,89536.66103550285,"(39.766910552978516, -86.14996337890625)",39.766910552978516,-86.14996337890625,POINT (-86.14996337890625 39.76691055297852)
20,Jacksonville,1.5109467455621308,85177.52881656802,"(30.331470489501953, -81.65621948242188)",30.331470489501953,-81.65621948242188,POINT (-81.65621948242188 30.33147048950195)
21,LasVegas,1.3809171597633145,160878.421301775,"(36.17192840576172, -115.14000701904297)",36.17192840576172,-115.14000701904297,POINT (-115.140007019043 36.17192840576172)
22,LosAngeles,1.216005917159763,1502652.5077810672,"(34.053489685058594, -118.24532318115234)",34.053489685058594,-118.24532318115234,POINT (-118.2453231811523 34.05348968505859)
23,Louisville,1.286686390532545,47624.267455621295,"(38.25489044189453, -85.76666259765625)",38.25489044189453,-85.76666259765625,POINT (-85.76666259765625 38.25489044189453)
24,MiamiFtLauderdale,1.428491124260355,288974.03559171595,"(25.790729522705078, -80.16264343261719)",25.790729522705078,-80.16264343261719,POINT (-80.16264343261719 25.79072952270508)
26,Nashville,1.2121005917159768,105361.210739645,"(36.16783905029297, -86.77816009521484)",36.16783905029297,-86.77816009521484,POINT (-86.77816009521484 36.16783905029297)
27,NewOrleansMobile,1.3047928994082851,135192.71177514785,"(29.953699111938477, -90.07775115966797)",29.953699111938477,-90.07775115966797,POINT (-90.07775115966797 29.95369911193848)
28,NewYork,1.727573964497041,712231.146538462,"(40.71455001831055, -74.00714111328125)",40.71455001831055,-74.00714111328125,POINT (-74.00714111328125 40.71455001831055)
30,NorthernNewEngland,1.4773964497041419,211635.78139053236,"(44.08305740356445, -70.5822982788086)",44.08305740356445,-70.5822982788086,POINT (-70.58229827880859 44.08305740356445)
31,Orlando,1.5062130177514785,173552.378372781,"(28.538230895996094, -81.37738800048828)",28.538230895996094,-81.37738800048828,POINT (-81.37738800048828 28.53823089599609)
32,Philadelphia,1.6321301775147927,212540.82301775154,"(39.95222091674805, -75.16217803955078)",39.95222091674805,-75.16217803955078,POINT (-75.16217803955078 39.95222091674805)
33,PhoenixTucson,1.224437869822485,578826.3683431951,"(33.44824981689453, -112.07579803466797)",33.44824981689453,-112.07579803466797,POINT (-112.075798034668 33.44824981689453)
34,Pittsburgh,1.3643195266272197,55640.076360946754,"(40.43851089477539, -79.9973373413086)",40.43851089477539,-79.9973373413086,POINT (-79.99733734130859 40.43851089477539)
36,Portland,1.3177218934911241,327077.5491124262,"(45.51179122924805, -122.67562866210938)",45.51179122924805,-122.67562866210938,POINT (-122.6756286621094 45.51179122924805)
37,RaleighGreensboro,1.555118343195266,142611.63213017752,"(35.7855110168457, -78.64266967773438)",35.7855110168457,-78.64266967773438,POINT (-78.64266967773438 35.7855110168457)
38,RichmondNorfolk,1.2913313609467465,124943.34748520711,"(37.54069900512695, -77.43364715576172)",37.54069900512695,-77.43364715576172,POINT (-77.43364715576172 37.54069900512695)
39,Roanoke,1.2479289940828397,74088.7893786983,"(37.27151870727539, -79.94056701660156)",37.27151870727539,-79.94056701660156,POINT (-79.94056701660156 37.27151870727539)
40,Sacramento,1.6215680473372784,222377.94928994065,"(38.57944107055664, -121.49085235595703)",38.57944107055664,-121.49085235595703,POINT (-121.490852355957 38.57944107055664)
41,SanDiego,1.3981656804733738,265656.5671301775,"(32.71567916870117, -117.16171264648438)",32.71567916870117,-117.16171264648438,POINT (-117.1617126464844 32.71567916870117)
42,SanFrancisco,1.8042011834319525,401864.4727218936,"(37.77711868286133, -122.41963958740234)",37.77711868286133,-122.41963958740234,POINT (-122.4196395874023 37.77711868286133)
43,Seattle,1.4425739644970408,323118.869704142,"(47.60356903076172, -122.32945251464844)",47.60356903076172,-122.32945251464844,POINT (-122.3294525146484 47.60356903076172)
44,SouthCarolina,1.4032840236686406,179744.89023668645,"(33.90385437011719, -80.89376831054688)",33.90385437011719,-80.89376831054688,POINT (-80.89376831054688 33.90385437011719)
47,Spokane,1.4455917159763314,46051.11088757393,"(47.65726089477539, -117.41227722167969)",47.65726089477539,-117.41227722167969,POINT (-117.4122772216797 47.65726089477539)
48,StLouis,1.4306213017751486,94890.03943786978,"(38.627750396728516, -90.1995620727539)",38.627750396728516,-90.1995620727539,POINT (-90.19956207275391 38.62775039672852)
49,Syracuse,1.5203254437869826,32374.756449704146,"(43.050418853759766, -76.14737701416016)",43.050418853759766,-76.14737701416016,POINT (-76.14737701416016 43.05041885375977)
50,Tampa,1.4088461538461536,195279.7021005916,"(27.946529388427734, -82.45926666259766)",27.946529388427734,-82.45926666259766,POINT (-82.45926666259766 27.94652938842773)
53,WestTexNewMexico,1.2617014925373136,431408.4769552239,"(34.421321868896484, -106.10840606689453)",34.421321868896484,-106.10840606689453,POINT (-106.1084060668945 34.42132186889648)
